State,Black,Total,Percentage,NameState
AK,0,6,0,Alaska
AL,9,31,29.03225806,Alabama
AR,1,5,20,Arkansas
AZ,2,60,3.333333333,Arizona
CA,47,276,17.02898551,California
CO,7,38,18.42105263,Colorado
CT,0,4,0,Connecticut
DC,6,7,85.71428571,District of Columbia
DE,3,7,42.85714286,Delaware
FL,32,91,35.16483516,Florida
GA,17,47,36.17021277,Georgia
HI,1,2,50,Hawaii
IA,0,8,0,Iowa
ID,0,10,0,Idaho
IL,15,31,48.38709677,Illinois
IN,7,26,26.92307692,Indiana
KS,0,17,0,Kansas
KY,5,24,20.83333333,Kentucky
LA,20,43,46.51162791,Louisiana
MA,3,14,21.42857143,Massachusetts
MD,17,24,70.83333333,Maryland
ME,0,4,0,Maine
MI,8,21,38.0952381,Michigan
MN,5,23,21.73913043,Minnesota
MO,10,29,34.48275862,Missouri
MS,3,19,15.78947368,Mississippi
MT,0,6,0,Montana
NC,12,32,37.5,North Carolina
ND,0,1,0,North Dakota
NE,3,14,21.42857143,Nebraska
NH,0,5,0,New Hampshire
NJ,4,21,19.04761905,New Jersey
NM,0,27,0,New Mexico
NV,5,32,15.625,Nevada
NY,11,26,42.30769231,New York
OH,18,46,39.13043478,Ohio
OK,14,50,28,Oklahoma
OR,1,27,3.703703704,Oregon
PA,14,29,48.27586207,Pennsylvania
SC,16,31,51.61290323,South Carolina
SD,0,6,0,South Dakota
TN,5,29,17.24137931,Tennessee
TX,29,174,16.66666667,Texas
UT,1,13,7.692307692,Utah
VA,20,35,57.14285714,Virginia
VT,0,1,0,Vermont
WA,0,26,0,Washington
WI,3,14,21.42857143,Wisconsin
WV,4,17,23.52941176,West Virginia
WY,0,8,0,Wyoming
